tweet_id,favorites,retweets
705898680587526145,2471,588
705970349788291072,3259,938
705975130514706432,3229,775
706166467411222528,5351,1696
706265994973601792,2843,972
706291001778950144,1771,493
706310011488698368,22233,8427
706346369204748288,3583,971
706516534877929472,3219,1092
706538006853918722,3595,1488
706593038911545345,2239,662
706644897839910912,2679,1158
706681918348251136,3459,1020
706901761596989440,2144,629
707014260413456384,2395,627
707021089608753152,4234,1441
707038192327901184,2273,838
707059547140169728,2683,712
707297311098011648,2876,836
707315916783140866,2573,678
707377100785885184,3412,1142
707387676719185920,3637,1368
707411934438625280,2377,627
707420581654872064,2366,730
707610948723478529,17629,6759
707693576495472641,3569,1060
707741517457260545,2595,645
707776935007539200,3411,1000
707969809498152960,2811,1022
707995814724026368,3257,1185
708026248782585858,4538,2023
708109389455101952,2003,572
708119489313951744,2782,1032
708130923141795840,3520,881
708149363256774660,4443,1619
708349470027751425,2437,778
708356463048204288,3743,1404
708469915515297792,3210,864
708479650088034305,2648,708
708711088997666817,2650,761
708738143638450176,2851,863
708810915978854401,17129,7325
708834316713893888,1755,533
708845821941387268,3097,947
709042156699303936,4937,1727
709158332880297985,2116,443
709198395643068416,2513,675
709207347839836162,13081,6166
709225125749587968,2501,602
709409458133323776,2717,728
709449600415961088,2320,610
709519240576036864,1545,250
709556954897764353,3421,1121
709566166965075968,3678,1270
709852847387627521,3646,1261
709901256215666688,700,105
709918798883774466,3105,1122
710117014656950272,5713,2104
710140971284037632,2869,936
710153181850935296,3019,944
710269109699739648,2489,1188
710272297844797440,4712,1323
710283270106132480,2220,543
710588934686908417,4716,1975
710658690886586372,2396,595
710833117892898816,2790,566
710844581445812225,2646,727
710997087345876993,4729,1462
711008018775851008,3109,649
711306686208872448,3441,770
711363825979756544,3802,1194
711652651650457602,4013,970
711694788429553666,34115,19284
711732680602345472,9218,4353
711743778164514816,2946,1037
711968124745228288,8362,2442
711998809858043904,0,131
712065007010385924,2349,662
712085617388212225,3372,509
712092745624633345,3050,942
712097430750289920,3934,1096
712438159032893441,5522,1648
712668654853337088,4311,1280
712717840512598017,12812,5268
712809025985978368,19260,7091
713175907180089344,4620,1533
713177543487135744,7473,2977
713411074226274305,4579,1363
713761197720473600,5065,1452
713900603437621249,2947,778
713919462244790272,3402,816
714141408463036416,4473,1480
714214115368108032,2354,923
714251586676113411,3382,884
714258258790387713,3139,755
714606013974974464,3762,973
714631576617938945,3384,1058
714957620017307648,4279,1494
714982300363173890,3890,1085
715009755312439296,4320,1302
715200624753819648,5309,1987
715220193576927233,2507,687
715342466308784130,3143,719
715360349751484417,5669,1657
715680795826982913,4482,1707
715696743237730304,4041,1355
715733265223708672,4838,1775
715928423106027520,3303,919
716080869887381504,6972,2021
716285507865542656,2881,1144
716439118184652801,2452,222
716791146589110272,6211,1512
716802964044845056,4444,1243
717009362452090881,3389,1025
717047459982213120,6496,2015
717421804990701568,3263,883
717537687239008257,5950,1934
717790033953034240,2985,1187
717841801130979328,2538,623
718234618122661888,4015,1060
718246886998687744,1998,526
718454725339934721,5040,1589
718460005985447936,2793,554
718540630683709445,2564,1070
718613305783398402,2519,508
718631497683582976,19554,8506
718939241951195136,5425,1858
718971898235854848,3615,1154
719332531645071360,3539,1003
719339463458033665,4564,1316
719367763014393856,2898,781
719551379208073216,5239,2032
719704490224398336,4717,1524
719991154352222208,4999,1836
720043174954147842,5087,2112
720059472081784833,4029,1184
720340705894408192,2969,1031
720389942216527872,6628,2649
720415127506415616,4285,1581
720775346191278080,2569,712
720785406564900865,3227,809
721001180231503872,2622,650
721503162398597120,4822,1975
722613351520608256,5144,1724
722974582966214656,4252,1652
723179728551723008,5484,1973
723673163800948736,3135,941
723688335806480385,7978,3138
723912936180330496,4043,1293
724004602748780546,4341,1656
724046343203856385,2757,592
724049859469295616,4479,1862
724405726123311104,5495,1731
724771698126512129,2462,675
724983749226668032,3852,1373
725729321944506368,5377,1880
725786712245440512,4317,1432
725842289046749185,7307,2797
726224900189511680,4574,1206
726828223124897792,3682,1054
726887082820554753,3977,1588
726935089318363137,7142,2584
727175381690781696,4028,1454
727286334147182592,3152,862
727314416056803329,3462,790
727524757080539137,4645,1285
727644517743104000,6113,1842
727685679342333952,3047,667
728015554473250816,4254,1158
728035342121635841,4725,1757
728046963732717569,4468,1242
